-1.942	-1.79	-1.756	-1.675	-1.051	-.649	-.758	-.657	-.624	-1.053	-1.243	-.931
-.566	-.613	-.894	-.99	-.867	-1.14	-1.51	-1.745	-1.877	-1.986	-1.771	-1.757
-1.625	-1.404	-1.255	-1.189	-.463	.331	.624	.658	1.029	.938	.49	.552
.518	.258	.091	.544	.305	.444	.865	.695	.801	.993	.97	.879
.779	.904	.964	.177	-.394	-.585	-.44	-.192	-.386	-.024	.178	.399
.596	.354	-.021	.278	.374	.397	.372	.636	.779	.666	.744	1.016
.698	.611	.685	.914	.95	.891	.759	.328	.279	.209	.252	.118
-.243	-.153	.453	.646	.14	-.03	-.046	-.085	.178	.108	-.036	-.148
-.278	-.138	.102	-.013	.432	.965	1.614	1.817	1.808	2.019	2.433	2.411
2.687	2.903	3.024	2.835	2.537	2.201	1.767	1.155	.481	.034	-.131	-.172
-.338	-.563	.126	.3	.106	-.081	-.086	-.159	-.101	.009	-.344	-.611
-.557	-.605	-.742	-.477	-.718	-.098	-.143	-.354	-.513	-.135	-.057	-.289
-.302	-.176	.055	-.152	.35	.313	.387	.804	1.122	.98	.865	1.181
1.237	1.184	1.727	1.867	2.14	1.954	1.855	1.982	1.888	1.643	1.271	1.253
1.093	.661	.45	.304	.081	-.649	-1.12	-1.319	-1.499	-1.315	-1.44	-1.339
-1.165	-1.323	-1.052	-.849	-.44	-.239	-.439	-.483	-.277	-.314	-.045	.145
.234	.524	.918	.403	.638	.491	.133	.14	.384	.28	.39	.339
.312	.32	.409	.471	.747	1.118	1.024	1.022	.759	1.024	1.2	1.318
1.749	1.87	1.987	2.269	2.148	1.762	1.022	.573	.52	.664	.589	.642
.701	1.005	.994	1.408	1.994	1.556	1.168	1.032	.987	1.063	.839	.565
.34	.194	.168	.45	.557	.808	.889	.769	.903	1.419	1.29	1.184
1.198	.974	.883	.437	.523	.489	.191	-.164	-.413	-.471	-.453	-.553
-.64	-.587	-.243	-.495	-.13	.053	-.197	-.377	-.443	-.349	-.13	-.337
-.485	-.602	-.244	.537	1.17	2.339	2.826	3.038	3.049	2.417	2.575	2.326
2.481	2.774	2.728	2.632	2.164	1.239	.346	-.36	-.587	-.795	-1.099	-1.01
-1.151	-1.247	-1.087	-1.053	-.66	-.365	-.486	-.767	-.974	-.977	-1.042	-1.205
-1.195	-1.252	-1.151	-.548	.16	-.04	-.169	-.141	-.219	-.372	-.712	-.582
-.539	-.725	-.615	-.156	.221	.032	.292	.366	-.108	-.266	-.159	.005
-.049	-.21	-.196	.356	.843	.948	.684	.949	.859	.976	1.076	1.114
1.185	.933	.828	.325	.088	.089	.165	.267	.459	.519	.536	.319
.31	.333	-.117	.243	.518	.283	.527	.665	.531	.497	.815	.647
.302	.804	1.032	.589	.801	.519	.508	.329	.288	-.149	-.376	-.583
-.469	-.463	-.584	-.689	-.004	.592	.669	.76	.825	.934	1.322	.953
.972	.505	.074	-.053	.226	-.221	-.246	-.409	-1.092	-1.103	-1.119	-1.164
-1.009	-1.408	-1.645	-.964	-.352	.16	.073	-.24	-.561	-.72	-.502	-.66
-.752	-.728	-.726	-.156	.366	.894	1.001	.991	.805	1.038	1.088	1.013
1.153	1.524	1.385	.894	.62	-.269	-1.073	-1.777	-1.954	-1.896	-1.523	-1.574
-1.677	-1.563	-1.56	-1.478	-.273	-.048	-.05	-.44	-.713	-.939	-.886	-.976
-1.045	-.711	-.432	.052	.739	.936	1.168	.581	.328	.139	.21	.041
.041	-.173	-.181	.002	.116	-.181	-.373	-.528	-.095	.135	-.027	-.3
-.312	-.258	.012	.193	.967	.997	.923	.938	.602	.411	.772	.578
.406	.468	.65	.953	1.567	2.06	1.972	2.367	2.527	2.225	2.308    0
